vendacodigo,vendadata,clientecodigo,vendavalor
883,25/03/2018,46,1769.62
884,28/03/2018,88,5729.32
885,14/03/2018,100,6074.63
886,04/03/2018,78,1351.87
887,20/03/2018,64,4065.22
888,15/03/2018,82,5221.44
889,15/03/2018,69,8820.41
890,28/03/2018,91,7115.44
891,13/03/2018,4,3237.57
892,16/03/2018,96,5738.68
893,06/03/2018,37,1079.84
894,17/03/2018,57,3603.08
895,13/03/2018,52,684.22
896,09/03/2018,68,7539.66
897,22/03/2018,15,1565.15
898,18/03/2018,58,2911.15
899,17/03/2018,93,110.09
900,26/03/2018,88,9709.62
901,26/03/2018,5,5493.68
902,04/03/2018,38,2399.57
903,08/03/2018,93,1909.59
904,30/03/2018,27,5752.85
905,11/03/2018,18,4900.94
906,06/03/2018,52,769.47
907,21/03/2018,69,2366.54
908,14/03/2018,15,7757.54
909,11/03/2018,26,2763.94
910,19/03/2018,51,8465.78
911,03/03/2018,87,5529.7
912,02/03/2018,59,799.29
913,19/03/2018,36,3843.63
914,24/03/2018,89,7798.66
915,12/03/2018,62,2683.95
916,28/03/2018,36,1268.23
917,23/03/2018,13,5550.9
918,02/03/2018,79,570.12
919,03/03/2018,59,2182.51
920,21/03/2018,70,2024.79
921,07/03/2018,62,3077.39
922,18/03/2018,93,1973.95
923,30/03/2018,9,2265.81
924,03/03/2018,67,5434.79
925,29/03/2018,65,755.57
926,20/03/2018,44,5583.02
927,25/03/2018,58,1349.53
928,19/03/2018,45,5684.2
929,03/03/2018,21,5912.56
930,30/03/2018,58,9398.59
931,15/03/2018,48,7210.39
932,23/03/2018,10,2887.48
933,28/03/2018,5,2071.32
934,02/03/2018,2,7191.73
935,01/03/2018,45,9749.83
936,17/03/2018,67,5062.95
937,19/03/2018,74,7671.26
938,24/03/2018,18,3628.16
939,09/03/2018,19,5191.38
940,27/03/2018,80,6210.64
941,19/03/2018,66,6936.95
942,14/03/2018,16,9010.32
943,18/03/2018,46,978.6
944,14/03/2018,95,3087.03
945,21/03/2018,5,1728.9
946,24/03/2018,97,1387.45
947,08/03/2018,95,4343.44
948,27/03/2018,38,3802.10
949,10/03/2018,52,7457.38
950,02/03/2018,76,9581.41
951,20/03/2018,86,2515.45
952,14/03/2018,38,2443.38
953,03/03/2018,42,2198.87
954,27/03/2018,86,5741.68
955,09/03/2018,8,4942.35
956,20/03/2018,92,8240.62
957,06/03/2018,89,4212.95
958,13/03/2018,53,3745.12
959,29/03/2018,82,6097.84
960,16/03/2018,2,9245.06
961,09/03/2018,49,6942.89
962,15/03/2018,79,9914.18
963,27/03/2018,99,1181.06
964,08/03/2018,45,2825.9
965,09/03/2018,5,5418.49
966,02/03/2018,92,2239.61
967,22/03/2018,38,3826.97
968,26/03/2018,41,2258.78
969,11/03/2018,24,9916.29
970,22/03/2018,38,9798.49
971,23/03/2018,62,3020.58
972,29/03/2018,31,8479.04
973,01/03/2018,84,1450.79
974,10/03/2018,86,5756.83
975,06/03/2018,29,3174.1
976,12/03/2018,55,4329.09
977,23/03/2018,46,1948.5
978,05/03/2018,38,5746.42
979,09/03/2018,72,1255.61
980,27/03/2018,12,4016.41
981,17/03/2018,50,5832.64
982,15/03/2018,44,7640.12
983,22/03/2018,19,5803.24
984,18/03/2018,7,4664.56
985,01/03/2018,5,6479.37
986,20/03/2018,2,2273.98
987,26/03/2018,66,1433.64
988,18/03/2018,92,3003.76
989,24/03/2018,21,6131.63
990,21/03/2018,54,8213.93
991,22/03/2018,54,2741.05
992,19/03/2018,59,2295.1
993,17/03/2018,47,2233.91
994,08/03/2018,27,638.09
995,06/03/2018,4,7764.78
996,11/03/2018,87,7238.33
997,30/03/2018,71,3967.92
998,18/03/2018,68,3566.87
999,06/03/2018,50,7770.87
1000,28/03/2018,20,2612.81
