vendacodigo,vendadata,clientecodigo,vendavalor
880,15/05/2018,45,5610.49
881,11/05/2018,59,4469.42
882,23/05/2018,76,5428.01
883,19/05/2018,49,9101.0
884,26/05/2018,17,1843.76
885,21/05/2018,98,3663.17
886,03/05/2018,68,4372.5
887,05/05/2018,15,1700.57
888,13/05/2018,57,8734.78
889,16/05/2018,57,3870.09
890,23/05/2018,6,783.16
891,03/05/2018,84,3022.05
892,20/05/2018,62,2220.0
893,23/05/2018,23,5824.63
894,08/05/2018,41,9914.73
895,29/05/2018,57,9149.92
896,10/05/2018,60,6755.16
897,23/05/2018,87,832.27
898,30/05/2018,32,2560.48
899,22/05/2018,27,2881.3
900,29/05/2018,6,9596.24
901,23/05/2018,29,6253.23
902,04/05/2018,53,9208.68
903,12/05/2018,52,4929.2
904,18/05/2018,33,3546.56
905,20/05/2018,14,3289.13
906,23/05/2018,63,6341.62
907,12/05/2018,51,3643.75
908,23/05/2018,50,4952.57
909,09/05/2018,97,7437.66
910,30/05/2018,4,6974.81
911,20/05/2018,88,4070.76
912,14/05/2018,3,6553.57
913,12/05/2018,80,2395.0
914,04/05/2018,4,429.77
915,05/05/2018,85,7856.65
916,16/05/2018,64,150.06
917,27/05/2018,22,5112.72
918,06/05/2018,54,1734.15
919,01/05/2018,5,9095.96
920,07/05/2018,83,2587.29
921,26/05/2018,61,5154.21
922,16/05/2018,38,2944.8
923,05/05/2018,52,214.19
924,12/05/2018,38,7795.64
925,27/05/2018,91,9535.35
926,15/05/2018,10,982.69
927,14/05/2018,63,687.55
928,06/05/2018,98,9829.54
929,06/05/2018,5,7019.28
930,07/05/2018,88,9396.45
931,29/05/2018,29,4406.99
932,28/05/2018,55,6627.41
933,27/05/2018,54,7922.08
934,26/05/2018,99,6089.61
935,27/05/2018,77,7036.37
936,07/05/2018,16,4417.11
937,07/05/2018,73,1622.51
938,24/05/2018,86,5756.43
939,01/05/2018,62,637.53
940,02/05/2018,94,7999.8
941,24/05/2018,70,581.54
942,11/05/2018,13,6657.48
943,12/05/2018,35,9084.89
944,24/05/2018,40,3424.3
945,10/05/2018,14,8098.63
946,13/05/2018,75,4809.38
947,29/05/2018,15,6177.21
948,24/05/2018,40,6415.59
949,04/05/2018,45,4197.98
950,02/05/2018,43,9850.03
951,26/05/2018,81,6897.53
952,30/05/2018,23,5683.27
953,13/05/2018,2,6752.72
954,19/05/2018,86,8872.99
955,19/05/2018,14,6840.22
956,02/05/2018,54,7775.38
957,02/05/2018,77,956.48
958,11/05/2018,42,7926.44
959,23/05/2018,38,1824.34
960,26/05/2018,5,4141.99
961,16/05/2018,25,5734.24
962,25/05/2018,70,8335.79
963,07/05/2018,82,3390.73
964,20/05/2018,85,3927.4
965,25/05/2018,43,6020.71
966,17/05/2018,46,5531.08
967,17/05/2018,58,7669.53
968,16/05/2018,41,497.4
969,16/05/2018,23,1220.24
970,15/05/2018,30,6492.96
971,25/05/2018,54,7651.12
972,07/05/2018,61,7657.22
973,24/05/2018,20,6187.32
974,10/05/2018,34,1167.41
975,22/05/2018,41,485.71
976,18/05/2018,24,1306.01
977,03/05/2018,42,8574.61
978,15/05/2018,95,9898.67
979,17/05/2018,59,9123.98
980,01/05/2018,16,5248.34
981,05/05/2018,86,3046.85
982,02/05/2018,32,5502.25
983,11/05/2018,74,6864.04
984,04/05/2018,20,7549.09
985,15/05/2018,59,8624.43
986,21/05/2018,9,9167.78
987,18/05/2018,21,933.16
988,28/05/2018,26,5034.42
989,27/05/2018,35,9152.37
990,01/05/2018,97,357.44
991,30/05/2018,52,9570.71
992,10/05/2018,19,5292.76
993,13/05/2018,29,7627.66
994,12/05/2018,69,6475.58
995,15/05/2018,99,6936.6
996,20/05/2018,25,1041.48
997,14/05/2018,32,639.01
998,17/05/2018,55,9350.11
999,27/05/2018,45,165.79
1000,16/05/2018,93,5538.68
